model,sample,outcome,ai_index,estimate,std_error,t_stat,p_value,n_obs
tag_fe_week_fe,exclude_top5_tags,log_questions,ai_answerability_zscore,-0.32482509044029195,0.07224880309741868,-4.495923482667318,6.9461522846925305e-06,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,log_questions,ai_answerability_zscore,-0.3621836316234048,0.06618642188594004,-5.472174220983886,4.445474722036221e-08,40823
tag_fe_week_fe,exclude_top5_tags,log_questions,ai_answerability_pca,-0.059910362974942614,0.023578809125553102,-2.5408561838696024,0.011061857253567009,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,log_questions,ai_answerability_pca,-0.08565134753838095,0.021218000728589148,-4.036730351459281,5.4201305449243594e-05,40823
tag_fe_week_fe,exclude_top5_tags,log_questions,ai_answerability_quantile,-0.38738202987072806,0.10772837121095853,-3.5959146649691673,0.0003236399194097572,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,log_questions,ai_answerability_quantile,-0.47628331633425225,0.08197819550189094,-5.809878022056074,6.2518376005228136e-09,40823
tag_fe_week_fe,exclude_top5_tags,log_questions,ai_answerability_structural,-0.25231976293445546,0.06848531417394622,-3.6842900697452756,0.00022964102541833675,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,log_questions,ai_answerability_structural,-0.2576990121299663,0.06518776836626519,-3.9531804598993774,7.71192297739907e-05,40823
tag_fe_week_fe,exclude_top5_tags,log_answers,ai_answerability_zscore,-0.2672468573012091,0.07062153539379228,-3.784211937775293,0.0001544194919580466,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,log_answers,ai_answerability_zscore,-0.3510536858733522,0.05942869842291005,-5.9071407449505795,3.4809634594267035e-09,40823
tag_fe_week_fe,exclude_top5_tags,log_answers,ai_answerability_pca,-0.028103435461999147,0.024648566173617974,-1.1401651221432512,0.2542242925441063,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,log_answers,ai_answerability_pca,-0.07588885090935275,0.021631290354335187,-3.5082905211035484,0.00045099625230019777,40823
tag_fe_week_fe,exclude_top5_tags,log_answers,ai_answerability_quantile,-0.29435612017531276,0.10507255967230415,-2.8014556901758,0.005089687850160285,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,log_answers,ai_answerability_quantile,-0.4509579368976926,0.08034239045484422,-5.612951448726807,1.9890442200168692e-08,40823
tag_fe_week_fe,exclude_top5_tags,log_answers,ai_answerability_structural,-0.17171867133154856,0.07147676420787463,-2.402440474671491,0.01629057978130799,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,log_answers,ai_answerability_structural,-0.24439677481583552,0.058768680410116035,-4.158622809127542,3.2017208333217514e-05,40823
tag_fe_week_fe,exclude_top5_tags,code_share,ai_answerability_zscore,-0.025306796509552972,0.005293531429466367,-4.780702041114378,1.7529986422459842e-06,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,code_share,ai_answerability_zscore,0.002549542600301215,0.003988465156516462,0.6392290016964806,0.5226739679315537,40823
tag_fe_week_fe,exclude_top5_tags,code_share,ai_answerability_pca,-0.007133895403832244,0.0016446574332844906,-4.337617828160956,1.4438501672042747e-05,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,code_share,ai_answerability_pca,0.0017701287334599904,0.0013440731467067174,1.316988392928767,0.1878425152520966,40823
tag_fe_week_fe,exclude_top5_tags,code_share,ai_answerability_quantile,-0.038565399474630384,0.007401021444724772,-5.210821203891884,1.889309224623048e-07,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,code_share,ai_answerability_quantile,0.00566366201344258,0.006315916564830863,0.8967284408061603,0.36986384053295296,40823
tag_fe_week_fe,exclude_top5_tags,code_share,ai_answerability_structural,-0.020298102851410323,0.005487619708678956,-3.6988902163369333,0.0002168318023059168,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,code_share,ai_answerability_structural,0.004350933498871082,0.003896309134017271,1.1166807738340496,0.2641308412475766,40823
tag_fe_week_fe,exclude_top5_tags,short_code_share,ai_answerability_zscore,-0.03661092367716726,0.0057706043730438375,-6.344382894829436,2.256850262227772e-10,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,short_code_share,ai_answerability_zscore,-0.019758129010023436,0.0034372463899010343,-5.748243439305005,9.017534503190746e-09,40823
tag_fe_week_fe,exclude_top5_tags,short_code_share,ai_answerability_pca,-0.012414069118629176,0.0011870773502240665,-10.457674991681007,0.0,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,short_code_share,ai_answerability_pca,-0.006317021613210372,0.0011656138716917396,-5.419480470013644,5.977247892964894e-08,40823
tag_fe_week_fe,exclude_top5_tags,short_code_share,ai_answerability_quantile,-0.05054517718502835,0.006044601919028102,-8.362035724125137,0.0,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,short_code_share,ai_answerability_quantile,-0.025624287404728625,0.004700599157541032,-5.451281112455704,5.0008247087256844e-08,40823
tag_fe_week_fe,exclude_top5_tags,short_code_share,ai_answerability_structural,-0.025390628336280325,0.005498199544280517,-4.617989604013706,3.8867128815400775e-06,40823
tag_fe_week_fe_tag_linear_trends,exclude_top5_tags,short_code_share,ai_answerability_structural,-0.01438947758433012,0.0030909841937479263,-4.655306103937845,3.2349972309208377e-06,40823
tag_fe_week_fe,balanced_2020_2024,log_questions,ai_answerability_zscore,-0.26841169668048503,0.05109172230022527,-5.25352610161082,1.504058424472987e-07,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,log_questions,ai_answerability_zscore,-0.21439888318373015,0.030681202884421655,-6.98795558933548,2.789206425977843e-12,26001
tag_fe_week_fe,balanced_2020_2024,log_questions,ai_answerability_pca,-0.05693858272959886,0.01987175139061452,-2.8653026907578516,0.004169494235141125,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,log_questions,ai_answerability_pca,-0.06226284599577039,0.012775865954780728,-4.873473642893979,1.0965290317004966e-06,26001
tag_fe_week_fe,balanced_2020_2024,log_questions,ai_answerability_quantile,-0.3530198796678555,0.08017713983608322,-4.4029991639709385,1.07196106300389e-05,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,log_questions,ai_answerability_quantile,-0.2935636806486752,0.04351721581102886,-6.745920555291486,1.5205980906209685e-11,26001
tag_fe_week_fe,balanced_2020_2024,log_questions,ai_answerability_structural,-0.18983633977816178,0.04695778280401185,-4.042702368859355,5.2992947184637984e-05,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,log_questions,ai_answerability_structural,-0.16248761594567462,0.029285774787588866,-5.548346155230829,2.8838448265123417e-08,26001
tag_fe_week_fe,balanced_2020_2024,log_answers,ai_answerability_zscore,-0.24426114714785524,0.05031169020496708,-4.854958085342565,1.211206157369915e-06,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,log_answers,ai_answerability_zscore,-0.22350393738497185,0.029663717589416553,-7.5345895776972265,4.898731287433207e-14,26001
tag_fe_week_fe,balanced_2020_2024,log_answers,ai_answerability_pca,-0.03763402496237315,0.020765079207841146,-1.8123708841024833,0.06994060003059732,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,log_answers,ai_answerability_pca,-0.058895535607889155,0.012980303242027315,-4.53730043973076,5.697890537846699e-06,26001
tag_fe_week_fe,balanced_2020_2024,log_answers,ai_answerability_quantile,-0.309636947025055,0.08048117013603585,-3.847321634385799,0.00011970522654247695,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,log_answers,ai_answerability_quantile,-0.29783961466965514,0.0452309495067887,-6.5848631947236145,4.553044266684816e-11,26001
tag_fe_week_fe,balanced_2020_2024,log_answers,ai_answerability_structural,-0.1555473684470139,0.04770753800574899,-3.260435875527043,0.001113862052585457,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,log_answers,ai_answerability_structural,-0.16696379077557888,0.027560515544930362,-6.058079374581625,1.3775642103486995e-09,26001
tag_fe_week_fe,balanced_2020_2024,code_share,ai_answerability_zscore,-0.011427401615556264,0.0036099684201928717,-3.165512903557679,0.0015499085977936922,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,code_share,ai_answerability_zscore,-0.001666381525748279,0.0026752228953366842,-0.6228944618607416,0.5333538776151467,26001
tag_fe_week_fe,balanced_2020_2024,code_share,ai_answerability_pca,-0.0031673039006255457,0.001412777713185971,-2.2418982625956936,0.024976464254582664,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,code_share,ai_answerability_pca,0.00016333768538688808,0.0010599978647334455,0.15409246642960184,0.8775368282551654,26001
tag_fe_week_fe,balanced_2020_2024,code_share,ai_answerability_quantile,-0.018117796240702023,0.006384589109448227,-2.8377388004328146,0.0045470004712238055,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,code_share,ai_answerability_quantile,-0.0015211013440106363,0.0044888264615103686,-0.33886392291022693,0.7347122434862645,26001
tag_fe_week_fe,balanced_2020_2024,code_share,ai_answerability_structural,-0.008602529152675788,0.0035339778157378572,-2.4342340561296565,0.014930119782516682,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,code_share,ai_answerability_structural,0.00027192500670000937,0.002485883120358817,0.10938768780921575,0.9128949988514663,26001
tag_fe_week_fe,balanced_2020_2024,short_code_share,ai_answerability_zscore,-0.028427304407691034,0.003939694015263029,-7.215612252514773,5.517808432387028e-13,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,short_code_share,ai_answerability_zscore,-0.012122201110450034,0.0020066582377631613,-6.040989383405294,1.5317205863256297e-09,26001
tag_fe_week_fe,balanced_2020_2024,short_code_share,ai_answerability_pca,-0.01028035051827088,0.0010333950734209088,-9.948131922323984,0.0,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,short_code_share,ai_answerability_pca,-0.004120835293258149,0.0007195192024967069,-5.727206833339531,1.0209766190517296e-08,26001
tag_fe_week_fe,balanced_2020_2024,short_code_share,ai_answerability_quantile,-0.040805012779242464,0.004621709963791325,-8.828986046058352,0.0,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,short_code_share,ai_answerability_quantile,-0.017288984995280615,0.0033952028191787087,-5.0921803250218725,3.539692029718968e-07,26001
tag_fe_week_fe,balanced_2020_2024,short_code_share,ai_answerability_structural,-0.019216363751590013,0.0035837526223158134,-5.362078741688492,8.298082088131764e-08,26001
tag_fe_week_fe_tag_linear_trends,balanced_2020_2024,short_code_share,ai_answerability_structural,-0.008493829146626133,0.0017701599911799247,-4.798339804846935,1.5998619044119045e-06,26001
tag_fe_week_fe,drop_transition_8w,log_questions,ai_answerability_zscore,-0.31463469025245916,0.07228343245188654,-4.35279122172134,1.3474107676492153e-05,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,log_questions,ai_answerability_zscore,-0.3622448709507774,0.06602626440575594,-5.486375372149603,4.102646286323962e-08,41403
tag_fe_week_fe,drop_transition_8w,log_questions,ai_answerability_pca,-0.06233764886636064,0.02407914525674492,-2.5888646877487878,0.009632702187314823,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,log_questions,ai_answerability_pca,-0.09342200088024591,0.023599082005934895,-3.958713345576381,7.535461189951307e-05,41403
tag_fe_week_fe,drop_transition_8w,log_questions,ai_answerability_quantile,-0.41032086913819915,0.10663171224778914,-3.8480191351021524,0.00011925759872788433,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,log_questions,ai_answerability_quantile,-0.5042917088369004,0.08713165635207326,-5.787697949861148,7.135757399568511e-09,41403
tag_fe_week_fe,drop_transition_8w,log_questions,ai_answerability_structural,-0.2412825353144577,0.06538564438802306,-3.690145406881611,0.00022441664165384623,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,log_questions,ai_answerability_structural,-0.245233751538245,0.060551047447293095,-4.050033184838127,5.121037033410345e-05,41403
tag_fe_week_fe,drop_transition_8w,log_answers,ai_answerability_zscore,-0.26521173034658196,0.06886136312427162,-3.8513865876858104,0.0001176298850558144,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,log_answers,ai_answerability_zscore,-0.35849476787530643,0.0586898752317214,-6.108289827843132,1.0070435857633721e-09,41403
tag_fe_week_fe,drop_transition_8w,log_answers,ai_answerability_pca,-0.02956268135809382,0.02519493435278573,-1.173358141924476,0.24065905130782594,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,log_answers,ai_answerability_pca,-0.08326320399593874,0.024022969320271297,-3.4659830300694248,0.000528296623011481,41403
tag_fe_week_fe,drop_transition_8w,log_answers,ai_answerability_quantile,-0.3217380387751213,0.10429961958115687,-3.0847479604158368,0.0020386059780910237,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,log_answers,ai_answerability_quantile,-0.4851199257681124,0.08527489079829623,-5.688895303490732,1.2786382848503104e-08,41403
tag_fe_week_fe,drop_transition_8w,log_answers,ai_answerability_structural,-0.174226432839634,0.06479810381973347,-2.6887581976831774,0.00717474185290512,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,log_answers,ai_answerability_structural,-0.24084657869323203,0.05467013512238788,-4.405450583834451,1.0556421621915985e-05,41403
tag_fe_week_fe,drop_transition_8w,code_share,ai_answerability_zscore,-0.023951919719816334,0.005100117615312871,-4.696346540695804,2.657152565754828e-06,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,code_share,ai_answerability_zscore,0.0040331753019028456,0.004030266278533635,1.0007217943352045,0.3169613277300336,41403
tag_fe_week_fe,drop_transition_8w,code_share,ai_answerability_pca,-0.0073231928618161845,0.0016950129758364697,-4.320434690597145,1.5608913687570336e-05,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,code_share,ai_answerability_pca,0.0023720430395125615,0.0015377929125297422,1.5424983560435575,0.12295253712087689,41403
tag_fe_week_fe,drop_transition_8w,code_share,ai_answerability_quantile,-0.03905149330055939,0.007521659299644294,-5.191872131513079,2.0918459009422463e-07,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,code_share,ai_answerability_quantile,0.007988977293965275,0.006882331475691064,1.1607951930509264,0.24572519830486206,41403
tag_fe_week_fe,drop_transition_8w,code_share,ai_answerability_structural,-0.01868911824154681,0.004922039475433734,-3.797027296271311,0.00014665316663897698,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,code_share,ai_answerability_structural,0.005534647986954772,0.0038443412789914556,1.4396869542255522,0.14995598592129433,41403
tag_fe_week_fe,drop_transition_8w,short_code_share,ai_answerability_zscore,-0.03499329950858566,0.005318369109694976,-6.579704940899189,4.7706283368142977e-11,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,short_code_share,ai_answerability_zscore,-0.020800968380546004,0.0033607332976715505,-6.189413600584652,6.038844135374347e-10,41403
tag_fe_week_fe,drop_transition_8w,short_code_share,ai_answerability_pca,-0.012876921047908796,0.0012238013699424214,-10.522067848734833,0.0,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,short_code_share,ai_answerability_pca,-0.006889887958899067,0.00132067570854589,-5.216941535545523,1.8190164267625354e-07,41403
tag_fe_week_fe,drop_transition_8w,short_code_share,ai_answerability_quantile,-0.05096661494173378,0.005978783496653776,-8.524579451699319,0.0,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,short_code_share,ai_answerability_quantile,-0.027985397179806235,0.004931312713714085,-5.675040056165623,1.3865620699346036e-08,41403
tag_fe_week_fe,drop_transition_8w,short_code_share,ai_answerability_structural,-0.023538339940145047,0.004727110453633587,-4.979435147755398,6.402932031246422e-07,41403
tag_fe_week_fe_tag_linear_trends,drop_transition_8w,short_code_share,ai_answerability_structural,-0.014452864418410144,0.002871711735843056,-5.032839556288953,4.832675737486276e-07,41403
